Grand Prix,Driver,Car,Time,Name Code
Portugal,Stirling  Moss ,Cooper Climax,2:05.070,MOS
Italy,Phil  Hill ,Ferrari,1:40.400,HIL
United States,Maurice Trintignant ,Cooper Climax,3:05.000,TRI
Argentina,Stirling  Moss ,Cooper Climax,1:38.900,MOS
Monaco,Bruce  McLaren ,Lotus Climax,1:36.200,MCL
Indianapolis 500,Jim  Rathmann ,Watson Offenhauser,1:01.590,RAT
Netherlands,Stirling  Moss ,Lotus Climax,1:33.800,MOS
Belgium,Phil  Hill ,Ferrari,3:51.900,HIL
France,Jack  Brabham ,Cooper Climax,2:17.500,BRA
Great Britain,Graham  Hill ,BRM,1:34.400,HIL
Portugal,John  Surtees ,Lotus Climax,2:27.530,SUR
Italy,Phil  Hill ,Ferrari,2:43.600,HIL
United States,Jack  Brabham ,Cooper Climax,1:56.300,BRA
Monaco,Richie  Ginther ,Ferrari,1:36.300,GIN
Netherlands,Jim  Clark ,Lotus Climax,1:35.500,CLA
Belgium,Richie  Ginther ,Ferrari,3:59.800,GIN
France,Phil  Hill ,Ferrari,2:27.100,HIL
Great Britain,Tony  Brooks ,BRM Climax,1:57.800,BRO
Germany,Phil  Hill ,Ferrari,8:57.800,HIL
Italy,Giancarlo  Baghetti ,Ferrari,2:48.400,BAG
United States,Jack  Brabham ,Cooper Climax,1:18.200,BRA
Netherlands,Bruce  McLaren ,Cooper Climax,1:34.400,MCL
Monaco,Jim  Clark ,Lotus Climax,1:35.500,CLA
Belgium,Jim  Clark ,Lotus Climax,3:55.600,CLA
France,Graham  Hill ,BRM,2:16.900,HIL
Great Britain,Jim  Clark ,Lotus Climax,1:55.000,CLA
Germany,Graham  Hill ,BRM,10:12.200,HIL
Italy,Graham  Hill ,BRM,1:42.300,HIL
United States,Jim  Clark ,Lotus Climax,1:15.000,CLA
South Africa,Jim  Clark ,Lotus Climax,1:31.000,CLA
Monaco,John  Surtees ,Ferrari,1:34.500,SUR
Belgium,Jim  Clark ,Lotus Climax,3:58.100,CLA
Netherlands,Jim  Clark ,Lotus Climax,1:33.700,CLA
France,Jim  Clark ,Lotus Climax,2:21.600,CLA
Great Britain,John  Surtees ,Ferrari,1:36.000,SUR
Germany,John  Surtees ,Ferrari,8:47.000,SUR
Italy,Jim  Clark ,Lotus Climax,1:38.900,CLA
United States,Jim  Clark ,Lotus Climax,1:14.500,CLA
Mexico,Jim  Clark ,Lotus Climax,1:58.100,CLA
South Africa,Dan  Gurney ,Brabham Climax,1:29.100,GUR
Monaco,Graham  Hill ,BRM,1:33.900,HIL
Netherlands,Jim  Clark ,Lotus Climax,1:32.800,CLA
Belgium,Dan  Gurney ,Brabham Ford,3:49.200,GUR
France,Jack  Brabham ,Brabham Ford,2:11.400,BRA
Great Britain,Jim  Clark ,Lotus Climax,1:38.800,CLA
Germany,John  Surtees ,Ferrari,8:39.000,SUR
Austria,Dan  Gurney ,Brabham Ford,1:10.560,GUR
Italy,John  Surtees ,Ferrari,1:38.800,SUR
United States,Jim  Clark ,Lotus Climax,1:12.700,CLA
Mexico,Jim  Clark ,Lotus Climax,1:58.370,CLA
South Africa,Jim  Clark ,Lotus Climax,1:27.600,CLA
Monaco,Graham  Hill ,BRM,1:31.700,HIL
Belgium,Jim  Clark ,Lotus Climax,4:12.900,CLA
France,Jim  Clark ,Lotus Climax,3:18.900,CLA
Great Britain,Graham  Hill ,BRM,1:32.200,HIL
Netherlands,Jim  Clark ,Lotus Climax,1:30.600,CLA
Germany,Jim  Clark ,Lotus Climax,8:24.100,CLA
Italy,Jim  Clark ,Lotus Climax,1:36.400,CLA
United States,Graham  Hill ,BRM,1:11.900,HIL
Mexico,Dan  Gurney ,Brabham Climax,1:55.840,GUR
Monaco,Lorenzo  Bandini ,Ferrari,1:29.800,BAN
Belgium,John  Surtees ,Ferrari,4:18.700,SUR
France,Lorenzo  Bandini ,Ferrari,2:11.300,BAN
Great Britain,Jack  Brabham ,Brabham Climax,1:37.000,BRA
Netherlands,Denny  Hulme ,Brabham Climax,1:30.600,HUL
Germany,John  Surtees ,Cooper Maserati,8:49.000,SUR
Italy,Ludovico  Scarfiotti ,Ferrari,1:32.400,SCA
United States,John  Surtees ,Cooper Maserati,1:09.670,SUR
Mexico,Richie  Ginther ,Honda,1:53.750,GIN
South Africa,Denny  Hulme ,Brabham Repco,1:29.900,HUL
Monaco,Jim  Clark ,Lotus Climax,1:29.500,CLA
Netherlands,Jim  Clark ,Lotus Climax,1:28.080,CLA
Belgium,Dan  Gurney ,Eagle Climax,3:31.900,GUR
France,Graham  Hill ,Lotus Climax,1:36.700,HIL
Great Britain,Denny  Hulme ,Brabham Repco,1:27.000,HUL
Germany,Dan  Gurney ,Eagle Climax,8:15.100,GUR
Canada,Jim  Clark ,Lotus Climax,1:23.100,CLA
Italy,Jim  Clark ,Lotus Climax,1:28.500,CLA
United States,Graham  Hill ,Lotus Climax,1:06.000,HIL
Mexico,Jim  Clark ,Lotus Climax,1:48.130,CLA
South Africa,Jim  Clark ,Lotus Ford,1:23.700,CLA
Spain,Jean-Pierre  Beltoise ,Matra Ford,1:28.300,BEL
Monaco,Richard  Attwood ,BRM,1:28.100,ATT
Belgium,John  Surtees ,Honda,3:30.500,SUR
Netherlands,Jean-Pierre  Beltoise ,Matra Ford,1:45.910,BEL
France,Pedro  Rodriguez ,BRM,2:11.500,ROD
Great Britain,Jo  Siffert ,Lotus Ford,1:29.700,SIF
Germany,Jackie  Stewart ,Matra Ford,9:36.000,STE
Italy,Jackie  Oliver ,Lotus Ford,1:26.500,OLI
Canada,Jo  Siffert ,Lotus Ford,1:35.100,SIF
United States,Jackie  Stewart ,Matra Ford,1:05.220,STE
Mexico,Jo  Siffert ,Lotus Ford,1:44.230,SIF
South Africa,Jackie  Stewart ,Matra Ford,1:21.600,STE
Spain,Jochen  Rindt ,Lotus Ford,1:28.300,RIN
Monaco,Jackie  Stewart ,Matra Ford,1:25.100,STE
Netherlands,Jackie  Stewart ,Matra Ford,1:22.940,STE
France,Jackie  Stewart ,Matra Ford,3:02.700,STE
Great Britain,Jackie  Stewart ,Matra Ford,1:21.300,STE
Germany,Jacky  Ickx ,Brabham Climax,7:43.800,ICK
Italy,Jean-Pierre  Beltoise ,Matra Ford,1:25.200,BEL
Canada,Jacky  Ickx ,Brabham Climax,1:18.100,ICK
United States,Jochen  Rindt ,Lotus Ford,1:04.340,RIN
Mexico,Jacky  Ickx ,Brabham Climax,1:43.050,ICK
South Africa,John  Surtees ,McLaren Ford,1:20.800,SUR
Spain,Jack  Brabham ,Brabham Ford,1:24.300,BRA
Monaco,Jochen  Rindt ,Lotus Ford,1:23.200,RIN
Belgium,Chris  Amon ,March Ford,3:27.400,AMO
Netherlands,Jacky  Ickx ,Ferrari,1:19.230,ICK
France,Jack  Brabham ,Brabham Ford,3:00.750,BRA
Great Britain,Jack  Brabham ,Brabham Ford,1:25.900,BRA
Germany,Jacky  Ickx ,Ferrari,2:00.500,ICK
Austria,Jacky  Ickx ,Ferrari,1:40.400,ICK
Italy,Clay  Regazzoni ,Ferrari,1:25.200,REG
Canada,Clay  Regazzoni ,Ferrari,1:32.200,REG
United States,Jacky  Ickx ,Ferrari,1:02.740,ICK
Mexico,Jacky  Ickx ,Ferrari,1:43.110,ICK
South Africa,Mario  Andretti ,Ferrari,1:20.300,AND
Spain,Jacky  Ickx ,Ferrari,1:25.100,ICK
Monaco,Jackie  Stewart ,Tyrrell Ford,1:22.200,STE
Netherlands,Jacky  Ickx ,Ferrari,1:34.950,ICK
France,Jackie  Stewart ,Tyrrell Ford,1:54.090,STE
Great Britain,Jackie  Stewart ,Tyrrell Ford,1:19.900,STE
Germany,Francois Cevert,Tyrrell Ford,7:20.100,CEV
Austria,Jo  Siffert ,BRM,1:38.470,SIF
Italy,Henri  Pescarolo ,March Ford,1:23.800,PES
Canada,Denny  Hulme ,McLaren Ford,1:43.500,HUL
United States,Jacky  Ickx ,Ferrari,1:43.474,ICK
Argentina,Jackie  Stewart ,Tyrrell Ford,1:13.660,STE
South Africa,Mike  Hailwood ,Surtees Ford,1:18.900,HAI
Spain,Jacky  Ickx ,Ferrari,1:21.010,ICK
Monaco,Jean-Pierre  Beltoise ,BRM,1:40.000,BEL
Belgium,Chris  Amon ,Matra,1:12.120,AMO
France,Chris  Amon ,Matra,2:53.900,AMO
Great Britain,Jackie  Stewart ,Tyrrell Ford,1:24.000,STE
Germany,Jacky  Ickx ,Ferrari,7:13.600,ICK
Austria,Denny  Hulme ,McLaren Ford,1:38.320,HUL
Italy,Jacky  Ickx ,Ferrari,1:36.300,ICK
Canada,Jackie  Stewart ,Tyrrell Ford,1:15.700,STE
United States,Jackie  Stewart ,Tyrrell Ford,1:41.644,STE
Argentina,Emerson  Fittipaldi ,Lotus Ford,1:11.220,FIT
Brazil,Emerson  Fittipaldi ,Lotus Ford,2:35.000,FIT
South Africa,Emerson  Fittipaldi ,Lotus Ford,1:17.100,FIT
Spain,Ronnie  Peterson ,Lotus Ford,1:23.800,PET
Belgium,Francois Cevert,Tyrrell Ford,1:25.420,CEV
Monaco,Emerson  Fittipaldi ,Lotus Ford,1:28.100,FIT
Sweden,Denny  Hulme ,McLaren Ford,1:26.146,HUL
France,Denny  Hulme ,McLaren Ford,1:50.990,HUL
Great Britain,James  Hunt ,March Ford,1:18.600,HUN
Netherlands,Ronnie  Peterson ,Lotus Ford,1:20.310,PET
Germany,Carlos  Pace ,Surtees Ford,7:11.400,PAC
Austria,Carlos  Pace ,Surtees Ford,1:37.290,PAC
Italy,Jackie  Stewart ,Tyrrell Ford,1:35.300,STE
Canada,Emerson  Fittipaldi ,Lotus Ford,1:15.496,FIT
United States,James  Hunt ,March Ford,1:41.652,HUN
Argentina,Clay  Regazzoni ,Ferrari,1:52.100,REG
Brazil,Clay  Regazzoni ,Ferrari,2:36.050,REG
South Africa,Carlos  Reutemann ,Brabham Ford,1:18.160,REU
Spain,Niki  Lauda ,Ferrari,1:20.830,LAU
Belgium,Denny  Hulme ,McLaren Ford,1:11.310,HUL
Monaco,Ronnie  Peterson ,Lotus Ford,1:27.900,PET
Sweden,Patrick  Depailler ,Tyrrell Ford,1:27.262,DEP
Netherlands,Ronnie  Peterson ,Lotus Ford,1:21.440,PET
France,Jody  Scheckter ,Tyrrell Ford,1:00.000,SCH
Great Britain,Niki  Lauda ,Ferrari,1:21.100,LAU
Germany,Jody  Scheckter ,Tyrrell Ford,7:11.100,SCH
Austria,Clay  Regazzoni ,Ferrari,1:37.220,REG
